Header
;milesdavis;davebrubeck;leonardcohen;kraftwerk;tajmahal;arethafranklin;wolfgangamadeusmozart;johnnycash;johnmayall;ironmaiden;theanimals;johannesbrahms;hankwilliams;joanbaez;sexpistols;faces;jimmycliff;willienelson;johnleehooker;solomonburke;sepultura;ramones;badreligion;publicenemy;bobmarley;madonna;samcooke;nirvana;beck;thesmashingpumpkins;abba;bobdylan;johannsebastianbach;fatboyslim;billieholiday;blacksabbath;eminem;missyelliott;thechemicalbrothers;seanpaul;therollingstones;justintimberlake;
sexpistols;0,380952;0,619048;0,714286;0,761905;0,904762;0,904762;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;1;1;0,952381;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,857143;0,857143;0,857143;0,857143;0,857143;0,809524;0,761905;0,714286;0,666667;0,666667;0,666667;0,666667;0,666667;0,666667;0,619048;0,619048;
faces;0,380952;0,619048;0,714286;0,761905;0,904762;0,904762;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;1;1;0,952381;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,857143;0,857143;0,857143;0,857143;0,857143;0,809524;0,761905;0,714286;0,666667;0,666667;0,666667;0,666667;0,666667;0,666667;0,619048;0,619048;
jimmycliff;0,333333;0,571429;0,666667;0,714286;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,904762;0,952381;0,952381;0,952381;0,952381;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,904762;0,904762;0,904762;0,904762;0,857143;0,809524;0,761905;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,666667;0,666667;
willienelson;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
johnleehooker;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
solomonburke;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
sepultura;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
ramones;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
badreligion;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
publicenemy;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
bobmarley;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
madonna;0,285714;0,52381;0,619048;0,666667;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,952381;1;1;1;1;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;
samcooke;0,238095;0,47619;0,571429;0,619048;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;
nirvana;0,238095;0,47619;0,571429;0,619048;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;
beck;0,238095;0,47619;0,571429;0,619048;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;
thesmashingpumpkins;0,238095;0,47619;0,571429;0,619048;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;
abba;0,238095;0,47619;0,571429;0,619048;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;
bobdylan;0,190476;0,428571;0,52381;0,571429;0,714286;0,714286;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,857143;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;1;0,952381;0,904762;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,809524;0,809524;
johannsebastianbach;0,142857;0,380952;0,47619;0,52381;0,666667;0,666667;0,666667;0,714286;0,714286;0,714286;0,714286;0,714286;0,761905;0,761905;0,761905;0,761905;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,904762;0,904762;0,904762;0,904762;0,952381;1;0,952381;0,904762;0,904762;0,904762;0,904762;0,904762;0,904762;0,857143;0,857143;
fatboyslim;0,095238;0,333333;0,428571;0,47619;0,619048;0,619048;0,619048;0,666667;0,666667;0,666667;0,666667;0,666667;0,714286;0,714286;0,714286;0,714286;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,857143;0,857143;0,857143;0,857143;0,904762;0,952381;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,904762;
billieholiday;0,047619;0,285714;0,380952;0,428571;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,619048;0,666667;0,666667;0,666667;0,666667;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,904762;0,952381;1;1;1;1;1;1;0,952381;0,952381;
blacksabbath;0,047619;0,285714;0,380952;0,428571;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,619048;0,666667;0,666667;0,666667;0,666667;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,904762;0,952381;1;1;1;1;1;1;0,952381;0,952381;
eminem;0,047619;0,285714;0,380952;0,428571;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,619048;0,666667;0,666667;0,666667;0,666667;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,904762;0,952381;1;1;1;1;1;1;0,952381;0,952381;
missyelliott;0,047619;0,285714;0,380952;0,428571;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,619048;0,666667;0,666667;0,666667;0,666667;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,904762;0,952381;1;1;1;1;1;1;0,952381;0,952381;
thechemicalbrothers;0,047619;0,285714;0,380952;0,428571;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,619048;0,666667;0,666667;0,666667;0,666667;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,904762;0,952381;1;1;1;1;1;1;0,952381;0,952381;
seanpaul;0,047619;0,285714;0,380952;0,428571;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,619048;0,666667;0,666667;0,666667;0,666667;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,809524;0,809524;0,809524;0,809524;0,857143;0,904762;0,952381;1;1;1;1;1;1;0,952381;0,952381;
therollingstones;0;0,238095;0,333333;0,380952;0,52381;0,52381;0,52381;0,571429;0,571429;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,666667;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,857143;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;
justintimberlake;0;0,238095;0,333333;0,380952;0,52381;0,52381;0,52381;0,571429;0,571429;0,571429;0,571429;0,571429;0,619048;0,619048;0,619048;0,619048;0,666667;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,714286;0,761905;0,761905;0,761905;0,761905;0,761905;0,809524;0,857143;0,904762;0,952381;0,952381;0,952381;0,952381;0,952381;0,952381;1;1;
